Cell_Area_(cm2),Batch_ID,Sample_ID,Efficiency_(percent),Rsh_(ohm-cm2),Rs_(ohm-cm2),n_at_1_sun,n_at_ 1/10_suns,Jo2_(A/cm2),Isc_(A),Voc_(V),FF_(percent)
249.64,Encapsulated_DOEproject,1008-2-DF-739,16.393121,32075.657308,2.24588,1.088999,1.089198,6.129142e-09,8.764501,0.649203,71.923037
249.64,Encapsulated_DOEproject,1008-1-DF-740,16.834284,16803.036052,1.803338,1.127895,1.093918,6.396817e-09,8.771473,0.648625,73.865716
249.64,Encapsulated_DOEproject,0808-2-DF-741,16.65643,18351.745926,1.841757,1.106044,1.094221,6.57621e-09,8.708254,0.647371,73.758495
249.64,Encapsulated_DOEproject,0808-4-DF-742,16.780528,83788.919377,1.786749,1.108077,1.07278,4.894173e-09,8.735555,0.647032,74.114509
249.64,Encapsulated_DOEproject,0808-1-DF-743,16.807679,74312.081648,1.802271,1.088264,1.090817,5.839557e-09,8.720014,0.64944,74.091058
249.64,Encapsulated_DOEproject,0808-2-DF-744,16.805097,26481.908316,1.838476,1.097285,1.100768,6.748592e-09,8.738998,0.650009,73.854062
249.64,Encapsulated_DOEproject,0808-1-DF-745,16.73452,112457.602566,1.770342,1.121873,1.072755,4.649567e-09,8.757044,0.646585,73.781013
249.64,Encapsulated_DOEproject,0808-0-DF-746,16.711914,112870.230595,1.926994,1.097886,1.071294,4.476753e-09,8.763301,0.647902,73.47899
249.64,Encapsulated_DOEproject,0808-4-DF-747,16.666399,170749.829327,1.797954,1.115473,1.071611,4.483513e-09,8.726098,0.6467,73.728052
249.64,Encapsulated_DOEproject,0808-4-DF-748,16.721331,30203.764454,1.890153,1.102109,1.096541,6.610325e-09,8.77227,0.649824,73.227969
249.64,Encapsulated_DOEproject,0808-2-DF-749,16.745409,17551.078449,1.77746,1.119458,1.10059,7.208716e-09,8.743606,0.646789,73.91915
249.64,Encapsulated_DOEproject,0808-4-DF-750,16.068634,17967.588947,2.409671,1.11396,1.121791,8.437623e-09,8.745684,0.647563,70.830014
249.64,Encapsulated_DOEproject,0808-2-DF-751,16.774623,139243.524847,1.753032,1.117784,1.073703,4.832974e-09,8.78373,0.646112,73.786994
249.64,Encapsulated_DOEproject,0308-0-DF-752,16.415515,27789.460989,2.271666,1.088399,1.091704,6.200364e-09,8.766038,0.650764,71.835997
249.64,Encapsulated_DOEproject,0308-0-DF-753,16.827106,91944.68001,1.832718,1.092695,1.095049,6.360852e-09,8.741101,0.650194,73.91187
249.64,Encapsulated_DOEproject,0308-0-DF-754,16.543603,125203.07764,1.94687,1.120396,1.080062,6.134463e-09,8.725312,0.646075,73.262217
249.64,Encapsulated_DOEproject,0308-0-DF-755,16.554955,104819.988872,1.972294,1.120522,1.075167,5.035871e-09,8.73541,0.646469,73.18314
249.64,Encapsulated_DOEproject,0308-0-DF-756,16.548467,105482.060133,2.028465,1.091056,1.105294,7.285748e-09,8.729841,0.65025,72.775524
249.64,Encapsulated_DOEproject,0308-2-DF-757,16.696829,53078.533994,1.835294,1.139551,1.091452,6.572034e-09,8.75188,0.646747,73.63982
249.64,Encapsulated_DOEproject,0308-2-DF-758,16.271073,163851.154633,1.897972,1.18928,1.069847,5.541752e-09,8.691057,0.638921,73.149413
249.64,Encapsulated_DOEproject,0408-4-DF-759,16.784378,162420.467676,1.750874,1.124551,1.067754,4.464618e-09,8.748255,0.645295,74.223235
249.64,Encapsulated_DOEproject,0408-1-DF-760,16.222181,30004.800013,2.389827,1.102634,1.090996,6.183273e-09,8.759449,0.649331,71.200042
249.64,Encapsulated_DOEproject,0408-1-DF-761,16.755889,113607.784316,1.734656,1.13777,1.072423,4.739617e-09,8.73515,0.645038,74.237952
249.64,Encapsulated_DOEproject,0408-1-DF-763,,137430.989415,,-1.141708,-1.080377,9.360254e-07,2.119914e-05,-0.646762,
249.64,Encapsulated_DOEproject,0408-1-DF-763,16.688127,128872.046927,1.83046,1.150095,1.081822,5.321729e-09,8.76789,0.645306,73.631056
249.64,Encapsulated_DOEproject,0408-4-DF-764,16.507627,34182.732845,1.824869,1.157257,1.083038,7.016504e-09,8.702149,0.643084,73.638391
249.64,Encapsulated_DOEproject,0408-2-DF-765,16.763296,24976.942396,1.806551,1.098419,1.089568,6.120589e-09,8.763924,0.648524,73.62899
249.64,Encapsulated_DOEproject,0408-1-DF-766,16.021987,72058.130948,1.696787,1.183165,1.124775,1.169452e-08,8.746043,0.624865,73.186748
249.64,Encapsulated_DOEproject,0808-4-DF-752,16.152881,163144.527614,1.828304,1.207891,1.090901,7.734546e-09,8.733508,0.632591,72.988212
249.64,Encapsulated_DOEproject,0408-2-DF-762,16.025722,116948.929517,1.819382,1.162095,1.109676,9.758795e-09,8.796788,0.625394,72.720044
249.64,Encapsulated_DOEproject,1008-1-DF-767,16.346514,12518.511788,1.945972,1.190846,1.103309,8.791468e-09,8.749122,0.641956,72.655653
249.64,Encapsulated_DOEproject,0908-4-DF-768,16.308893,25823.802197,1.920965,1.160862,1.089611,7.845806e-09,8.657258,0.643125,73.124495
249.64,Encapsulated_DOEproject,0908-2-DF-769,16.624892,29713.608505,1.784032,1.172391,1.085399,6.348623e-09,8.726252,0.645037,73.73273
249.64,Encapsulated_DOEproject,0808-4-DF-770,16.83788,21445.105943,1.774377,1.104617,1.094721,6.273421e-09,8.739198,0.648884,74.124712
249.64,Encapsulated_DOEproject,0808-2-DF-771,16.801865,120740.526772,1.759132,1.118416,1.074387,5.104793e-09,8.750755,0.645932,74.206003
249.64,Encapsulated_DOEproject,0808-1-DF-772,16.782643,82450.481552,1.789703,1.108894,1.088778,6.075935e-09,8.751161,0.646951,74.000965
249.64,Encapsulated_DOEproject,0308-0-DF-773,16.498125,50297.248561,1.914518,1.148179,1.094886,7.786297e-09,8.745583,0.643796,73.149563
249.64,Encapsulated_DOEproject,0308-2-DF-774,16.192304,134083.850812,2.103253,1.198556,1.098177,6.712196e-09,8.725361,0.64366,71.975238
249.64,Encapsulated_DOEproject,0308-1-DF-775,16.67604,27645.945005,1.843141,1.114786,1.085978,6.256689e-09,8.777914,0.647065,73.293961
249.64,Encapsulated_DOEproject,0308-0-DF-776,16.87776,22279.606318,1.784849,1.102643,1.096531,6.420376e-09,8.77382,0.648869,74.008759
